Zirport ID,Name,City,Country ,IATA,ICAO,Latitude,Longitude,Altidude,Time Zone,DST,Database time zone,Type of Airport,Source
3411,Barter Island LRRS Airport,Barter Island,United States,BTI,PABA,70.13,-143.58,2,-9,A,America/Anchorage,airport,OurAirports
3412,Wainwright Air Station,Fort Wainwright,United States,\N,PAWT,70.61,-159.86,35,-9,A,America/Anchorage,airport,OurAirports
3413,Cape Lisburne LRRS Airport,Cape Lisburne,United States,LUR,PALU,68.88,-166.11,16,-9,A,America/Anchorage,airport,OurAirports
3414,Point Lay LRRS Airport,Point Lay,United States,PIZ,PPIZ,69.73,-163.01,22,-9,A,America/Anchorage,airport,OurAirports
3415,Hilo International Airport,Hilo,United States,ITO,PHTO,19.72,-155.05,38,-10,N,Pacific/Honolulu,airport,OurAirports
3416,Orlando Executive Airport,Orlando,United States,ORL,KORL,28.55,-81.33,113,-5,A,America/New_York,airport,OurAirports
3417,Bettles Airport,Bettles,United States,BTT,PABT,66.91,-151.53,647,-9,A,America/Anchorage,airport,OurAirports
3418,Clear Airport,Clear Mews,United States,\N,PACL,64.3,-149.12,552,-9,A,America/Anchorage,airport,OurAirports
3419,Indian Mountain LRRS Airport,Indian Mountains,United States,UTO,PAIM,65.99,-153.7,1273,-9,A,America/Anchorage,airport,OurAirports
3420,Fort Yukon Airport,Fort Yukon,United States,FYU,PFYU,66.57,-145.25,433,-9,A,America/Anchorage,airport,OurAirports
3421,Sparrevohn LRRS Airport,Sparrevohn,United States,SVW,PASV,61.1,-155.57,1585,-9,A,America/Anchorage,airport,OurAirports
3422,Bryant Army Heliport,Fort Richardson,United States,FRN,PAFR,61.27,-149.65,378,-9,A,America/Anchorage,airport,OurAirports
3423,Tatalina LRRS Airport,Tatalina,United States,TLJ,PATL,62.89,-155.98,964,-9,A,America/Anchorage,airport,OurAirports
3424,Cape Romanzof LRRS Airport,Cape Romanzof,United States,CZF,PACZ,61.78,-166.04,464,-9,A,America/Anchorage,airport,OurAirports
3425,Laurence G Hanscom Field,Bedford,United States,BED,KBED,42.47,-71.29,133,-5,A,America/New_York,airport,OurAirports
