,Restaurant,City,Latitude,longitude,price,rating
0,Wabi Sabi - Gates C70-99,Newark,41.0,-74.0,$$,2.0
1,NaN,NaN,,,NaN,NaN
2,NaN,NaN,,,NaN,NaN
3,Saison,Newark,41.0,-74.0,$$$,2.5
4,NaN,NaN,,,NaN,NaN
5,Mediterranean Bistro,Newark,41.0,-74.0,$$,2.0
6,NaN,NaN,,,NaN,NaN
7,NaN,NaN,,,NaN,NaN
8,NaN,NaN,,,NaN,NaN
9,NaN,NaN,,,NaN,NaN
10,Guinness Pub,Newark,41.0,-74.0,$$,1.5
11,NaN,NaN,,,NaN,NaN
12,Salumeria Prima,Newark,41.0,-74.0,$$$,2.0
13,Hamachi Sushi,Newark,41.0,-74.0,$$,2.0
14,NaN,NaN,,,NaN,NaN
15,NaN,NaN,,,NaN,NaN
16,NaN,NaN,,,NaN,NaN
17,QDOBA Mexican Eats,Newark,41.0,-74.0,$,2.0
18,SURF Bar,Newark,41.0,-74.0,$$,2.0
19,NaN,NaN,,,NaN,NaN
20,NaN,NaN,,,NaN,NaN
21,NaN,NaN,,,NaN,NaN
22,NaN,NaN,,,NaN,NaN
23,NaN,NaN,,,NaN,NaN
24,NaN,NaN,,,NaN,NaN
25,NaN,NaN,,,NaN,NaN
26,Ruby Tuesdays,Newark,41.0,-74.0,$$,2.0
27,NaN,NaN,,,NaN,NaN
28,NaN,NaN,,,NaN,NaN
29,NaN,NaN,,,NaN,NaN
